DATE,GDP_China,Inflation_rate,Exchang_rate,Instsred_rate,Population,YounthUnempRate,Gold_price
2022-1-1,1.80E+13,1.973575557,6.7290124,2.9,1412175000,13.165,12096.9
2021-1-1,1.78E+13,0.981015136,6.450814458,2.9,1412360000,12.437,11602
2020-1-1,1.47E+13,2.419421895,6.9041904,2.9,1411100000,12.688,12199.8
2019-1-1,1.43E+13,2.899234164,6.908139357,2.9,1407745000,10.73,9634.9
2018-1-1,1.39E+13,2.0747904,6.609042972,2.9,1402760000,9.714,8384.1
2017-1-1,1.23E+13,1.593136001,6.756870281,2.9,1396215000,10.474,8487.2
2016-1-1,1.12E+13,2.000001822,6.640016335,2.9,1387790000,10.612,8305.8
2015-1-1,1.11E+13,1.437023809,6.282743426,3.191666667,1379860000,10.714,7285.1
2014-1-1,1.05E+13,1.921641628,6.1619892,3.25,1371860000,10.535,7802
2013-1-1,9.57E+12,2.621050017,6.147754183,3.25,1363240000,10.338,8684.3
2012-1-1,8.53E+12,2.619524326,6.309262948,3.25,1354190000,10.168,10530.5
2011-1-1,7.55E+12,5.553898923,6.46301992,3.25,1345035000,9.982,10147.6
2010-1-1,6.09E+12,3.175324753,6.7696016,2.828333333,1337705000,9.82,8283
2009-1-1,5.10E+12,-0.728165251,6.830738889,2.79,1331260000,10.144,6642.6
2008-1-1,4.59E+12,5.92525137,6.947740079,3.9375,1324655000,9.795,6064.4
2007-1-1,3.55E+12,4.816767674,7.605780315,3.33,1317885000,9.215,5284.8
2006-1-1,2.75E+12,1.649430995,7.972343825,3.33,1311020000,9.319,4813.3
2005-1-1,2.29E+12,1.776414077,8.193587698,3.33,1303720000,9.481,3639.5
2004-1-1,1.96E+12,3.824637431,8.276792885,2.8575,1296075000,9.417,3386.6
2003-1-1,1.66E+12,1.127603487,8.277170916,2.7,1288400000,9.609,3007.2
2002-1-1,1.47E+12,-0.731970902,8.277050996,2.745,1280400000,8.907,2563.2
2001-1-1,1.34E+12,0.719125609,8.2770132,3.24,1271850000,7.986,2243.4
2000-1-1,1.21E+12,0.347811227,8.278411508,3.24,1262645000,6.835,2310.5
1999-1-1,1.09E+12,-1.401472683,8.278285317,3.8025,1252735000,6.764,2306.1
1998-1-1,1.03E+12,-0.773186012,8.300752381,6.1125,1241935000,6.668,2434.7
1997-1-1,9.62E+11,2.786465055,8.3193308,8.8875,1230075000,6.567,2746.4
1996-1-1,8.64E+11,8.313160289,8.338875397,9.48,1217550000,6.262,3224.9
1995-1-1,7.34E+11,16.79122517,8.370024701,10.35,1204855000,5.924,3206.9
1994-1-1,5.64E+11,24.25698972,8.639664659,10.08,1191835000,5.626,3306.3
1993-1-1,4.45E+11,14.61007864,5.779528821,8.85,1178440000,5.121,2077.2
1992-1-1,4.27E+11,6.35398134,5.520570085,7.2,1164970000,4.434,1902.4
1991-1-1,3.83E+11,3.556685652,5.333728936,7.38,1150780000,4.366,1927.4
1990-1-1,3.61E+11,3.052290121,4.7920688,,1135185000,,1827.1
1989-1-1,3.48E+11,18.24563836,3.767347809,,1118650000,,1434.3
1988-1-1,3.12E+11,18.81181794,3.7314,,1101630000,,1626.1
1987-1-1,2.73E+11,7.233835531,3.7314,,1084035000,,1659.6
1986-1-1,3.01E+11,,3.461615139,,1066790000,,1272.4
1985-1-1,3.09E+11,,2.94343,,1051040000,,926.6
1984-1-1,2.60E+11,,2.3303132,,1036825000,,
1983-1-1,2.31E+11,,1.981013147,,1023310000,,
1982-1-1,2.05E+11,,1.897860159,,1008630000,,
1981-1-1,1.96E+11,,1.709976494,,993885000,,
